ip,country_code,region_code,location
2600:1ffd:82be::/48,IN,IN-MH,Mumbai
2600:1ffd:831b::/48,US,US-OH,Columbus
2600:1ffd:833b::/48,US,US-OH,Columbus
2600:1ffd:838e::/48,IE,IE-D,Dublin
2600:1ffd:83ad::/48,IE,IE-D,Dublin
2600:1ffd:83d2::/48,BR,BR-SP,Sao Paulo
2600:1ffd:8422::/48,SG,SG-01,Singapore
2600:1ffd:8492::/48,GB,GB-LND,London
2600:1ffd:84af::/48,GB,GB-LND,London
2600:1ffd:84bd::/48,GB,GB-LND,London
2600:1ffd:8508::/48,US,US-OR,Boardman
2600:1ffd:85b2::/48,SG,SG-01,Singapore
2600:1ffd:85c0::/48,AU,AU-NSW,Sydney
2600:1ffd:85e8::/48,AU,AU-NSW,Sydney
2600:1ffe:1000::/40,CA,CA-QC,Montreal
2600:1ffe:2000::/40,US,US-OR,Boardman
2600:1ffe:4000::/39,US,US-OR,Boardman
2600:1ffe:5000::/40,US,US-OH,Columbus
2600:1ffe:6000::/40,US,US-OH,Columbus
2600:1ffe:7400::/40,MX,MX-QUE,Querétaro
2600:1ffe:8000::/39,US,US-VA,Ashburn
2600:1ffe:a400::/40,CA,CA-AB,Calgary
2600:1ffe:c000::/40,US,US-CA,San Jose
2600:1ffe:e000::/40,BR,BR-SP,Sao Paulo
2600:1fff:1000::/40,CA,CA-QC,Montreal
2600:1fff:2000::/40,US,US-OR,Boardman
2600:1fff:3000::/40,US,US-CA,Los Angeles
2600:1fff:4000::/39,US,US-OR,Boardman
2600:1fff:5000::/40,US,US-OH,Columbus
2600:1fff:6000::/40,US,US-OH,Columbus
2600:1fff:7400::/40,MX,MX-QUE,Querétaro
2600:1fff:8000::/39,US,US-VA,Ashburn
2600:1fff:a400::/40,CA,CA-AB,Calgary
2600:1fff:c000::/40,US,US-CA,San Jose
2600:1fff:e000::/40,BR,BR-SP,Sao Paulo
2600:9000:5200::/48,IE,IE-D,Dublin
2600:9000:5201::/48,US,US-VA,Ashburn
2600:9000:5202::/48,US,US-OR,Boardman
2600:9000:5203::/48,US,US-VA,Ashburn
2600:9000:5204::/48,US,US-OR,Boardman
2600:9000:5205::/48,IN,IN-MH,Mumbai
2600:9000:5206::/48,KR,KR-28,Incheon
2600:9000:5207::/48,JP,JP-13,Tokyo
2600:9000:5208::/48,SG,SG-01,Singapore
2600:9000:5209::/48,AU,AU-NSW,Sydney
2600:9000:520a::/48,IE,IE-D,Dublin
2600:9000:520b::/48,DE,DE-HE,Frankfurt
2600:9000:520c::/48,GB,GB-LND,London
2600:9000:520d::/48,AE,AE-DU,Dubai
2600:9000:520e::/48,BR,BR-SP,Sao Paulo
2600:9000:520f::/48,US,US-OH,Columbus
2600:9000:5210::/48,US,US-VA,Ashburn
2600:9000:5211::/48,US,US-OR,Boardman
2600:9000:5212::/48,US,US-CA,San Jose
2600:f000::/39,US,US-VA,Ashburn
2600:f000:8000::/39,US,US-OR,Boardman
2600:f001::/40,US,US-OH,Columbus
2600:f002::/39,IE,IE-D,Dublin
2600:f002:c000::/40,DE,DE-HE,Frankfurt
2600:f003:a200::/40,ES,ES-AR,Zaragoza
2600:f004::/40,JP,JP-13,Tokyo
2600:f00c::/39,US,US-VA,Ashburn
2600:f00c:8000::/39,US,US-OR,Boardman
2600:f00e::/39,IE,IE-D,Dublin
2600:f00e:400::/40,ES,ES-AR,Zaragoza
2600:f00e:600::/40,DE,DE-HE,Frankfurt
2600:f00f::/40,JP,JP-13,Tokyo
2600:f0f0:0:100::/56,US,US-VA,Ashburn
2600:f0f0:0:200::/59,US,US-VA,Ashburn
2600:f0f0:0:300::/56,US,US-OR,Boardman
2600:f0f0:1:a00::/56,US,US-OR,Boardman
2600:f0f0:1:f00::/56,JP,JP-13,Tokyo
2600:f0f0:1:1000::/56,KR,KR-28,Incheon
2600:f0f0:1:1100::/56,JP,JP-27,Osaka
2600:f0f0:1:1300::/56,SG,SG-01,Singapore
2600:f0f0:1:1400::/56,AU,AU-NSW,Sydney
2600:f0f0:1:1600::/56,CA,CA-QC,Montreal
2600:f0f0:1:1700::/56,DE,DE-HE,Frankfurt
2600:f0f0:1:1800::/56,SE,SE-AB,Stockholm
2600:f0f0:1:1a00::/56,IE,IE-D,Dublin
2600:f0f0:1:1b00::/56,GB,GB-LND,London
2600:f0f0:1:1c00::/56,FR,FR-75C,Paris
2600:f0f0:1:1e00::/56,BR,BR-SP,Sao Paulo
2600:f0f0:1:1f00::/56,US,US-VA,Ashburn
2600:f0f0:1:2000::/56,US,US-OH,Columbus
2600:f0f0:1:2100::/56,US,US-CA,San Jose
2600:f0f0:1:2200::/56,US,US-OR,Boardman
2600:f0f0:1:fd00::/56,US,US-VA,Ashburn
2600:f0f0:1:fe00::/55,US,US-OR,Boardman
2600:f0f0:2::/47,US,US-VA,Ashburn
2600:f0f0:4::/48,DE,DE-HE,Frankfurt
2600:f0f0:8::/48,US,US-OR,Boardman
2600:f0f0:10::/48,IE,IE-D,Dublin
2600:f0f0:11::/48,US,US-VA,Ashburn
2600:f0f0:20::/48,IL,IL-TA,Tel Aviv
2600:f0f0:30::/44,US,US-OH,Columbus
2600:f0f0:40::/48,IN,IN-MH,Mumbai
2600:f0f0:80::/48,US,US-VA,Ashburn
2600:f0f0:81::/48,US,US-OH,Columbus
2600:f0f0:82::/48,JP,JP-13,Tokyo
2600:f0f0:83::/48,AU,AU-NSW,Sydney
2600:f0f0:84::/48,SG,SG-01,Singapore
2600:f0f0:85::/48,US,US-OR,Boardman
2600:f0f0:86::/48,IE,IE-D,Dublin
2600:f0f0:87::/48,IN,IN-MH,Mumbai
2600:f0f0:a0::/48,US,US-VA,Ashburn
2600:f0f0:300:100::/56,US,US-OR,Boardman
2600:f0f0:30e::/48,US,US-OR,Boardman
2600:f0f0:30f::/48,DE,DE-HE,Frankfurt
2600:f0f0:500::/48,US,US-VA,Ashburn
2600:f0f0:600::/54,US,US-VA,Ashburn
2600:f0f0:730::/47,SG,SG-01,Singapore
2600:f0f0:f00::/54,US,US-VA,Ashburn
2600:f0f0:f00:400::/55,US,US-VA,Ashburn
2600:f0f0:1000::/44,US,US-VA,Ashburn
2600:f0f0:4000::/48,US,US-OR,Boardman
2600:f0f0:5400::/47,KR,KR-28,Incheon
2600:f0f0:5402::/48,KR,KR-28,Incheon
2600:f0f0:5500::/48,US,US-OR,Boardman
2600:f0f0:5502::/48,US,US-OR,Boardman
2600:f0f0:5503::/48,US,US-VA,Ashburn
2600:f0f0:5510::/45,US,US-OR,Boardman
2600:f0f0:5518::/46,US,US-VA,Ashburn
2600:f0f0:551c::/47,US,US-VA,Ashburn
2600:f0f0:551e::/47,US,US-OH,Columbus
2600:f0f0:5520::/48,US,US-OH,Columbus
2600:f0f0:5521::/48,BR,BR-SP,Sao Paulo
2600:f0f0:5522::/47,BR,BR-SP,Sao Paulo
2600:f0f0:5524::/47,DE,DE-HE,Frankfurt
2600:f0f0:5526::/48,DE,DE-HE,Frankfurt
2600:f0f0:5527::/48,IE,IE-D,Dublin
2600:f0f0:5528::/47,IE,IE-D,Dublin
2600:f0f0:552a::/47,BH,BH-14,Bahrain
2600:f0f0:552c::/46,BH,BH-14,Bahrain
2600:f0f0:5530::/47,AE,AE-DU,Dubai
2600:f0f0:5532::/48,AE,AE-DU,Dubai
2600:f0f0:5533::/48,JP,JP-13,Tokyo
2600:f0f0:5534::/47,JP,JP-13,Tokyo
2600:f0f0:5536::/48,JP,JP-13,Tokyo
2600:f0f0:5537::/48,JP,JP-27,Osaka
2600:f0f0:5538::/47,JP,JP-27,Osaka
2600:f0f0:553a::/47,IN,IN-MH,Mumbai
2600:f0f0:553c::/48,IN,IN-MH,Mumbai
2600:f0f0:553d::/48,SG,SG-01,Singapore
2600:f0f0:553e::/47,SG,SG-01,Singapore
2600:f0f0:6000::/43,US,US-VA,Ashburn
2600:f0f1:8801::/48,US,US-VA,Ashburn
2600:f0f1:8802::/48,IN,IN-MH,Mumbai
2600:f0fb:8000::/40,US,US-OR,Boardman
2600:f0fb:e000::/40,US,US-GA,Atlanta
2600:f0fb:e100::/40,US,US-MA,Boston
2600:f0fb:e200::/40,US,US-CO,Denver
2600:f0fb:e300::/40,US,US-TX,Dallas
2600:f0fb:e400::/40,US,US-OR,Portland
2600:f0fb:e500::/40,US,US-TX,Houston
2600:f0fb:e600::/40,US,US-NY,New York City
2600:f0fb:e700::/40,US,US-NV,Las Vegas
2600:f0fb:e800::/40,US,US-MO,Kansas City
2600:f0fb:e900::/40,US,US-FL,Miami
2600:f0fb:ea00::/40,US,US-MN,Minneapolis
2600:f0fb:eb00::/40,US,US-IL,Chicago
2600:f0fb:ec00::/40,US,US-PA,Philadelphia
2600:f0fb:ed00::/40,US,US-AZ,Phoenix
2600:f0fb:ee00::/40,US,US-WA,Seattle
2600:f0fb:ef00::/40,US,US-HI,Honolulu
2602:f7db::/44,US,US-VA,Ashburn
2605:9cc0:1ff0::/56,US,US-VA,Ashburn
2605:9cc0:1ff0:400::/54,US,US-VA,Ashburn
2605:9cc0:1ff0:800::/55,US,US-VA,Ashburn
2605:9cc0:1ff0:3c00::/56,US,US-VA,Ashburn
2605:9cc0:1ff0:8000::/56,US,US-VA,Ashburn
2605:9cc0:1ff0:f800::/56,US,US-VA,Ashburn
2605:9cc0:1fff:fc00::/54,US,US-VA,Ashburn
2605:b140:1000::/48,US,US-OR,Boardman
2606:f40::/39,US,US-VA,Ashburn
2606:f40:400::/39,US,US-OR,Boardman
2606:f40:800::/40,US,US-OH,Columbus
2606:f40:1000::/39,IE,IE-D,Dublin
2606:f40:1800::/40,DE,DE-HE,Frankfurt
2606:f40:2100::/40,ES,ES-AR,Zaragoza
2606:f40:2200::/40,JP,JP-13,Tokyo
2606:f40:5800::/40,DE,DE-HE,Frankfurt
2606:f40:6100::/40,ES,ES-AR,Zaragoza
2606:f40:8000::/39,US,US-VA,Ashburn
2606:f40:8400::/39,US,US-OR,Boardman
2606:f40:8800::/40,US,US-OH,Columbus
2606:f40:9000::/39,IE,IE-D,Dublin
2606:f40:9800::/40,DE,DE-HE,Frankfurt
2606:f40:a100::/40,ES,ES-AR,Zaragoza
2606:f40:a200::/40,JP,JP-13,Tokyo
2606:f40:fff0::/48,IE,IE-D,Dublin
2606:f40:fff2::/48,IE,IE-D,Dublin
2606:f40:fff6::/47,JP,JP-13,Tokyo
2606:f40:fff8::/47,DE,DE-HE,Frankfurt
2606:f40:fffa::/47,ES,ES-AR,Zaragoza
2606:f40:fffc::/48,US,US-VA,Ashburn
2606:f40:fffd::/48,US,US-OR,Boardman
2606:f40:fffe::/48,US,US-VA,Ashburn
2606:f40:ffff::/48,US,US-OR,Boardman
2606:7b40:9fc::/47,US,US-OR,Boardman
2606:7b40:1000:2000::/55,US,US-OR,Boardman
2606:7b40:1000:2270::/60,US,US-OR,Boardman
2606:7b40:1000:3000::/56,US,US-OR,Boardman
2606:7b40:1000:7000::/56,US,US-OR,Boardman
2606:7b40:1000:7200::/59,US,US-OR,Boardman
2606:7b40:1000:7220::/60,US,US-OR,Boardman
2606:7b40:1000:7240::/60,US,US-OR,Boardman
2606:7b40:1000:7270::/60,US,US-OR,Boardman
2606:7b40:1000:7280::/60,US,US-OR,Boardman
2606:7b40:1000:72e0::/60,US,US-OR,Boardman
2606:7b40:1000:8000::/56,US,US-OR,Boardman
2606:7b40:1042::/56,US,US-OR,Boardman
2606:7b40:1042:3200::/60,US,US-OR,Boardman
2606:7b40:10f8::/46,US,US-OR,Boardman
2606:7b40:10ff:7000::/56,US,US-OR,Boardman
2606:7b40:10ff:7270::/60,US,US-OR,Boardman
2606:7b40:10ff:8000::/56,US,US-OR,Boardman
2606:7b40:10ff:9000::/56,US,US-OR,Boardman
2606:7b40:10ff:a000::/56,US,US-OR,Boardman
2606:7b40:10ff:a200::/58,US,US-OR,Boardman
2606:7b40:10ff:a240::/59,US,US-OR,Boardman
2606:7b40:10ff:a270::/60,US,US-OR,Boardman
2606:7b40:10ff:a280::/59,US,US-OR,Boardman
2606:7b40:10ff:a2d0::/60,US,US-OR,Boardman
2606:7b40:10ff:a2e0::/60,US,US-OR,Boardman
2606:7b40:10ff:b000::/56,US,US-OR,Boardman
2606:7b40:10ff:c000::/56,US,US-OR,Boardman
2606:7b40:10ff:d000::/56,US,US-OR,Boardman
2606:7b40:10ff:d200::/58,US,US-OR,Boardman
2606:7b40:10ff:d240::/59,US,US-OR,Boardman
2606:7b40:10ff:d270::/60,US,US-OR,Boardman
2606:7b40:10ff:d280::/59,US,US-OR,Boardman
2606:7b40:10ff:d2d0::/60,US,US-OR,Boardman
2606:7b40:10ff:d2f0::/60,US,US-OR,Boardman
2606:7b40:10ff:e000::/56,US,US-OR,Boardman
2606:7b40:10ff:e270::/60,US,US-OR,Boardman
2606:7b40:10ff:f000::/56,US,US-OR,Boardman
2606:7b40:10ff:f270::/60,US,US-OR,Boardman
2606:7b40:10ff:ff00::/56,US,US-OR,Boardman
2606:7b40:1800::/48,US,US-OR,Boardman
2606:7b40:1b00:700::/56,US,US-OR,Boardman
2606:7b40:1b0c::/56,DE,DE-HE,Frankfurt
2606:7b40:1b0d:8000::/56,GB,GB-LND,London
2606:7b40:1b0e::/56,CA,CA-QC,Montreal
2606:7b40:1b0f:4000::/56,US,US-OH,Columbus
2606:7b40:1b0f:c000::/56,US,US-OR,Boardman
2606:7b40:1b0f:ef00::/56,US,US-OR,Boardman
2606:7b40:1b0f:f000::/54,US,US-OR,Boardman
2606:7b40:1b0f:f400::/56,US,US-OR,Boardman
2606:7b40:1b0f:f900::/56,US,US-OR,Boardman
2606:7b40:1b0f:fa00::/56,US,US-OR,Boardman
2606:7b40:1b0f:fd00::/56,US,US-OR,Boardman
2620:107:3000::/48,US,US-CA,San Jose
2620:107:3002::/64,US,US-VA,Ashburn
2620:107:300f::/48,US,US-CA,San Jose
2620:107:4000::/64,US,US-VA,Ashburn
2620:107:4000:2::/64,US,US-CA,San Jose
2620:107:4000:3::/64,US,US-OR,Boardman
2620:107:4000:4::/64,US,US-WA,Seattle
2620:107:4000:5::/64,US,US-OR,Boardman
2620:107:4000:9::/64,US,US-OH,Columbus
2620:107:4000:a::/64,CA,CA-QC,Montreal
2620:107:4000:40::/64,US,US-CA,San Jose
2620:107:4000:ff::/64,US,US-VA,Ashburn
2620:107:4000:2000::/64,US,US-VA,Ashburn
2620:107:4000:2001::/64,US,US-CA,San Jose
2620:107:4000:4000::/59,US,US-VA,Ashburn
2620:107:4000:4100::/62,US,US-CA,San Jose
2620:107:4000:4104::/63,US,US-CA,San Jose
2620:107:4000:4200::/62,US,US-OR,Boardman
2620:107:4000:4204::/64,US,US-CA,San Jose
2620:107:4000:4205::/64,US,US-OR,Boardman
2620:107:4000:4206::/63,US,US-OR,Boardman
2620:107:4000:4208::/63,US,US-OR,Boardman
2620:107:4000:4700::/62,US,US-OH,Columbus
2620:107:4000:4704::/63,US,US-OH,Columbus
2620:107:4000:4800::/62,CA,CA-QC,Montreal
2620:107:4000:4c00::/56,CA,CA-AB,Calgary
2620:107:4000:7000::/56,US,US-VA,Ashburn
2620:107:4000:7100::/56,US,US-CA,San Jose
2620:107:4000:7200::/56,US,US-OR,Boardman
2620:107:4000:7400::/56,US,US-OR,Boardman
2620:107:4000:7700::/56,US,US-OH,Columbus
2620:107:4000:7800::/56,CA,CA-QC,Montreal
2620:107:4000:7a00::/56,US,US-OH,Columbus
2620:107:4000:7c00::/56,CA,CA-AB,Calgary
2620:107:4000:8001::/64,US,US-VA,Ashburn
2620:107:4000:8002::/64,US,US-VA,Ashburn
2620:107:4000:8004::/64,US,US-VA,Ashburn
2620:107:4000:8400::/56,MX,MX-QUE,Querétaro
2620:107:4000:8500::/56,US,US-VA,Ashburn
2620:107:4000:9000::/63,US,US-VA,Ashburn
2620:107:4000:9002::/64,US,US-VA,Ashburn
2620:107:4000:9003::/64,US,US-OR,Boardman
2620:107:4000:9005::/64,US,US-VA,Ashburn
2620:107:4000:9006::/64,US,US-CA,San Jose
2620:107:4000:9009::/64,US,US-VA,Ashburn
2620:107:4000:900a::/63,US,US-OH,Columbus
2620:107:4000:900c::/62,US,US-VA,Ashburn
2620:107:4000:9010::/64,US,US-VA,Ashburn
2620:107:4000:9011::/64,US,US-CA,San Jose
2620:107:4000:9012::/64,US,US-OR,Boardman
2620:107:4000:9013::/64,US,US-VA,Ashburn
2620:107:4000:9014::/63,CA,CA-QC,Montreal
2620:107:4000:9016::/63,US,US-WA,Seattle
2620:107:4000:9018::/63,US,US-CA,San Jose
2620:107:4000:901b::/64,US,US-VA,Ashburn
2620:107:4000:9900:50:80::/94,US,US-OR,Boardman
2620:107:4000:9900:50:84::/96,US,US-OR,Boardman
2620:107:4000:a080::/58,US,US-OR,Boardman
2620:107:4000:a840::/58,ID,ID-JK,Jakarta
2620:107:4000:a880::/57,ID,ID-JK,Jakarta
2620:107:4000:a900::/57,ID,ID-JK,Jakarta
2620:107:4002::/47,DE,DE-HE,Frankfurt
2620:107:4004::/47,US,US-OR,Boardman
2620:107:4007::/64,US,US-VA,Ashburn
2620:108:7000::/44,US,US-OR,Boardman
2620:108:d000::/44,US,US-OR,Boardman
2804:800::/48,BR,BR-SP,Sao Paulo
2804:800:ff00::/48,BR,BR-SP,Sao Paulo
2a01:578:0:12::/64,GB,GB-LND,London
2a01:578:0:13::/64,FR,FR-75C,Paris
2a01:578:0:7000::/56,IE,IE-D,Dublin
2a01:578:0:7100::/56,DE,DE-HE,Frankfurt
